text,comments,shares,reaction_count,like,love,haha,wow,sad,angry,date,day,posting_time
Which two footballers will be the next 'Messi v Ronaldo'? 🤔,426.0,19,2078,1507,510,8,1,5,0,2023-11-24,Friday,2
"Mauricio Sarri gives a hilarious response to this question 🤣

GOAL.COM
‘Can I smoke there?’ - Former Chelsea manager Mauricio Sarri offers hilarious response to Saudi Arabia links as Lazio boss insists he is happy in Italy | Goal.com UK",6.0,7,585,516,8,59,1,1,0,2023-11-23,Thursday,17
"Bernardo Silva reveals why he didn't go to Saudi 😱

GOAL.COM
'I didn't want to give up on that' - Bernardo Silva reveals reasons for snubbing potential move to Saudi Arabia",17.0,5,937,906,26,1,0,1,0,2023-11-23,Thursday,22
"It's all coming to an end 😢

GOAL.COM
What a career! Angel di Maria confirms he will retire from Argentina duty after 2024 Copa America | Goal.com UK",93.0,27,3810,2963,267,13,7,517,0,2023-11-23,Thursday,20
Taiwo Awoniyi will miss AFCON after picking up a groin injury 😔 🇳🇬,137.0,23,4918,4008,36,19,25,794,8,2023-11-23,Thursday,18
Argentina fans choose between Lionel Messi & Diego Maradona 👀🇦🇷,1036.0,250,11955,6231,4617,250,27,2,8,2023-11-23,Thursday,18
Football winner stays on with Specs and ElzTheWitch: Mary Earps takes the win from outta nowhere 🦸‍♀️ Sky Sports,26.0,4,1130,1014,100,13,0,0,0,2023-11-23,Thursday,17
Liverpool's attackers feasted during the international break ⚽️,241.0,95,10885,8846,1903,17,12,0,1,2023-11-23,Thursday,16
"Real Madrid want Haaland and Mbappe 😱

GOAL.COM
Erling Haaland & Kylian Mbappe to Real Madrid? Los Blancos have £342m ‘Galactico’ transfer war chest",126.0,11,1648,1352,47,208,31,1,1,2023-11-23,Thursday,15
Kevin De Bruyne nutmegs members of the public 💀 Manchester City,26.0,29,2388,1829,494,25,4,0,0,2023-11-23,Thursday,14
"Andre Onana got injured during the international break, but he could still feature for Manchester United against Everton 💪

GOAL.COM
Onana set to make immediate return after withdrawing from Cameroon duty with groin problem",28.0,2,1170,1059,17,91,1,1,0,2023-11-23,Thursday,14
Guess the football career paths: the streets will never forget the Bolasie flick 🧨,8.0,4,847,778,63,0,2,0,0,2023-11-23,Thursday,13
Barcelona had David Beckham sweating over Lionel Messi 😅,140.0,34,9346,7027,1449,719,13,20,2,2023-11-23,Thursday,13
PSG players prank their own fans 🤡 PSG - Paris Saint-Germain,12.0,3,902,765,17,114,3,1,0,2023-11-23,Thursday,11
"Chelsea are the latest club interested in Napoli's €100m Khvicha Kvaratskhelia 🔵

GOAL.COM
Chelsea want Kvaradona! Blues join queue of clubs chasing €100m-rated Napoli Scudetto hero Khvicha Kvaratskhelia | Goal.com UK",50.0,7,1569,1419,110,19,9,1,2,2023-11-23,Thursday,11
Lionel Messi doesn't go anywhere without a bodyguard 💪,931.0,141,28530,19903,3205,5120,28,3,13,2023-11-23,Thursday,10
"Manchester City vs Liverpool has become the Premier League's greatest rivalry in recent years 🍿

GOAL.COM
Ten moments that turned Man City vs Liverpool into the Premier League's greatest rivalry",71.0,10,2555,2322,215,5,2,0,0,2023-11-23,Thursday,9
This wholesome moment between Lionel Messi and Emi Martinez 🥺,205.0,81,20723,14177,5583,214,9,4,8,2023-11-23,Thursday,3
"Neymar reacts to the pre-match violence inside the stadium 😬

GOAL.COM
'Hell of a mess' - Neymar reacts to 'hot' atmosphere at Maracana",26.0,12,2663,2470,160,9,9,4,2,2023-11-23,Thursday,1
"PSG are signing Goncalo Ramos permanently 🤑

GOAL.COM
PSG cough up €80 million to make Goncalo Ramos loan deal permanent",20.0,3,1904,1747,26,116,8,1,0,2023-11-22,Wednesday,23
Currently leading their title races 👀,100.0,24,7322,6358,901,9,4,3,0,2023-11-22,Wednesday,21
"Manchester United are planning a huge clear-out 😱

GOAL.COM
Erik ten Hag to swing the axe! 13 Man Utd players on the chopping block",73.0,8,1788,1698,45,39,0,1,1,2023-11-22,Wednesday,20
Which player was on the back of your first football shirt? 🤷,1868.0,86,6830,4904,1646,56,4,1,0,2023-11-22,Wednesday,19
"Mason Mount looks 'lost' at Manchester United 😳

GOAL.COM
Mason Mount looks 'lost' at Man Utd & is suffering from 'high stress levels' due to his massive £60m fee",220.0,14,2162,1823,19,292,2,14,4,2023-11-22,Wednesday,18
Brazil vs Argentina finished with 42 fouls 🥊,774.0,214,31565,23418,2919,4689,261,27,20,2023-11-22,Wednesday,17
Drafting the ultimate Chelsea five-a-side team 💙,4.0,4,959,892,59,1,1,0,0,2023-11-22,Wednesday,17
The one player Chelsea fans would buy if they could sign anyone 🇳🇬,122.0,12,3786,3097,602,44,4,0,0,2023-11-22,Wednesday,16
The future of El Clasico is in safe hands 🙏,693.0,101,30630,24694,5231,392,34,1,1,2023-11-22,Wednesday,15
