comment,date,day,time
U see why fans clearly Love Messi especially those from decent countries and those with proper Learning! Ronaldo always behaves like a kid from polygamous marriage... always bitter and jealous and creating rivalry even wen there is none.,2023-11-23,Thursday,19:00:00
Tyrus Sun lol isn't Messi who misbehave? Chocking young players throats lately these days?,2023-11-23,Thursday,20:00:00
Ashif Rahman tor ki mone hoy :(,2023-11-23,Thursday,20:00:00
"Tyrus Sun exactly bro,,I fully support you in this,,cr7 is full of pride and has a bad attitude and ego,,always seeking for attention",2023-11-23,Thursday,20:00:00
Tyrus Sun why didn't your f00lish father use a piece of condom to prevent your abismal existence.,2023-11-23,Thursday,20:00:00
Wilson Kalisa Garbage supporting garbage,2023-11-23,Thursday,20:00:00
"Lechman Lech no problem,that's your opinion and I respect it",2023-11-23,Thursday,20:00:00
Asif Irteza Ratul se tar bio te sob clear kore likhei dise r ki mone joibo 🤕,2023-11-23,Thursday,21:00:00
Tyrus Sun why didn't your f00lish father use a piece of condom to prevent your abismal existence.,2023-11-23,Thursday,23:00:00
"MESSI , You are the father of inspiration in the world of football and beyond. You are a result of hard work and passionate dedication to any assignment. You came and conquered and still building a tower to be emulated by generations. Personally, I love your zeal and resilience. You deserve the Titles KING & GOAT at the same time. May God give you the energy to entertain us and mentor young generations.",2023-11-23,Thursday,20:00:00
Tyrus Sun Great,2023-11-23,Thursday,23:00:00
Tyrus Sun king or thief,2023-11-23,Thursday,23:00:00
Tyrus Sun Amen 🙏,2023-11-23,Thursday,23:31:00
This Will Be Never Happend Again ..,2023-11-23,Thursday,20:00:00
"Messi is a much better person than I am. These Argentines have abused and humaliated him multiple times, but he stood firm and always fought for his country. May he remain blessed for his die hard spirit and humility😍",2023-11-23,Thursday,20:00:00
"Without Messi, we won't have enjoy brilliant and magic moments. No other player can provide such joy every time he gets the ball.\n\nHe is 35 playing better than every player even right now.\n\nThat tells why he is the greatest bar none.",2023-11-23,Thursday,19:00:00
Five reasons why people hate Leo Messi 🔥\n\n1. He doesn't play for your favorite team.\n2. He is better than your favorite player.\n3. He humiliated your favorite team.\n4. You have no knowledge in Football.\n5. He has completed Football and he is the Greatest player of all time.,2023-11-23,Thursday,20:00:00
Tyrus Sun my man cristiano is the goat we don't hate messi but we prefer ronaldo over messi,2023-11-23,Thursday,20:00:00
"Tyrus Sun yooo bro don’t you have like a job or something because what is this 😂😂😂😂😂😂😂 we get it, you love Messi",2023-11-23,Thursday,21:00:00
Tyrus Sun goal,2023-11-23,Thursday,23:00:00
Messi is too Great. So Great even in Saudi Arabia they chant his name constantly till this day during their matches.The true fact is if you love football you can’t hate Messi.\nMessi is the human embodiment of Football.\n\nThis gesture alone is beyond words.,2023-11-23,Thursday,20:00:00
Your favorite\n\nMESSI 🇦🇷 👍\nRONALDO 🇵🇹 ❤️\nNeymar 🇧🇷 🥰,2023-11-23,Thursday,19:00:00
Tyrus Sun neymar,2023-11-23,Thursday,22:00:00
You guys are just doing everything possible to make it look as if Messi and Cr7 are on the same level. The most forced debate ever.,2023-11-23,Thursday,19:00:00
Samad Arowolo truth,2023-11-23,Thursday,19:00:00
Dont compare world cup winner to a cattle rearer 🤦🏾\u200d♂️🤦🏾\u200d♂️🤦🏾\u200d♂️🤦🏾\u200d♂️🤦🏾\u200d♂️,2023-11-23,Thursday,19:00:00
Loic Wafo,2023-11-23,Thursday,19:00:00
Veron Dice,2023-11-23,Thursday,19:00:00
Samad Arowolo we all know CR7 is millenniums better than that clown 🤡 dwarf ... GOAL just likes forcing things,2023-11-23,Thursday,20:00:00
"Samad Arowolo I tire o. Always trying to force a comparison. Why would they compare Ronaldo to Messi, like it's an insult on Messi. Ronaldo is just a goal scorer and nothing more. Messi is a combination of goal scoring, and interesting play. Many of them comparing Ronaldo to him, know in their heart that Messi is way above his league. You watch Messi play, and you are wowed.",2023-11-23,Thursday,23:09:00
"Messi is already finished,while Ronaldo is still competing against Young generations 🙏🙏🙏",2023-11-23,Thursday,20:00:00
Edrich Musics yeah at camel league,2023-11-23,Thursday,21:00:00
Edrich Musics and Messi collected the most prestigious award against young generation of kylian and haaland last month at 36,2023-11-23,Thursday,22:00:00
Edrich Musics Halland and Mbappe has already taken Ronaldo's place. No one can do what Messi does😎🍿,2023-11-23,Thursday,22:00:00
I know i am Finished...But please please let me touch the world cup and Ballon D Or😭😭😭😭,2023-11-23,Thursday,22:00:00
Francis Joseph Wuchirwe and won the World Cup against the young generation ronaldo’s Portugal can’t even escape from Morocco,2023-11-23,Thursday,23:00:00
Martins Asefu 👍👍,2023-11-23,Thursday,23:00:00
Edrich Musics im ashamed of your comment,2023-11-23,Thursday,23:13:00
It would have been Rashford and Mbape...but the Manchester guy refuse to grow.😔,2023-11-23,Thursday,23:00:00
"Marcus Rashford Vs Goal, Will be the next rivalry.",2023-11-23,Thursday,19:00:00
Impossible but Mbappe and haaland will be the next competitor.,2023-11-23,Thursday,20:00:00
No one can take place of them 🤞 i really enjoyed this era because of them🥺 respect for Ronaldo and love for Messi \U0001faf6 no hate to others players 🥺 big fan of Lionel Messi \U0001faf6👑,2023-11-23,Thursday,20:00:00
Manoj Tamang Halland and Mbappe has already taken Ronaldo's place. No one can do what Messi does😎🍿,2023-11-23,Thursday,22:00:00
Which player is going to replace Ronaldo. That should be the proper question.? Messi is above everyone length both dead and alive.,2023-11-23,Thursday,22:00:00
Christopher Nyah That's very true!!,2023-11-23,Thursday,23:20:00
At this point it is Messi vs Haaland vs Mbappe. The man is timeless,2023-11-23,Thursday,19:00:00
Tim Lindsey Jude is coming,2023-11-23,Thursday,23:00:00
Mbappe will be the next Ronaldo in terms of everything even hatred from FIFA and the media,2023-11-23,Thursday,21:00:00
Husband Khumalo Awww,2023-11-23,Thursday,22:00:00
Husband Khumalo Hatred😭,2023-11-23,Thursday,22:00:00
Husband Khumalo Pain,2023-11-23,Thursday,22:00:00
Husband Khumalo Humiliation by Fifa😂😂😂 Dummies,2023-11-23,Thursday,22:00:00
Someone could be like CR7 but none could be like LM10 🐐,2023-11-23,Thursday,20:00:00
There is so many Ronaldo like m bappe haaland etc etc but messi can't be repalce,2023-11-23,Thursday,23:04:00
There won't ever be any Messi he is a once in a lifetime revelation,2023-11-23,Thursday,19:00:00
Ronaldo being compared to a human being from another planet is unfair to him,2023-11-23,Thursday,23:00:00
There will be non. The don't make players them no more.❌❌❌,2023-11-23,Thursday,19:00:00
No football born and unborn can replicate what those dudes have done. We are fortunate to leave in an era that witnessed these footballing greats. Other great footballers will come but none will get close to matching their longevity,2023-11-23,Thursday,23:00:00
There will be many CR7's but none Messi's magicians.,2023-11-23,Thursday,19:00:00
Mfundo Ngcobo CR7,2023-11-23,Thursday,20:00:00
Mfundo Ngcobo name them,2023-11-23,Thursday,22:00:00
"Their rivalry won't repeat, but we people love to compare, surely we will compare some overrated players with these beasts, sad.",2023-11-23,Thursday,21:00:00
Legends and an honour and pleasure to see them play. We witnessed football history which may never be seen again . Seen the best of the best. They are legends,2023-11-23,Thursday,23:52:00
Its hard to tell now. I thought it was goin to be HALAND and Mbape.. But they are a few brilliant stars that we may need to add to this debate soon depending on how they play next season or 2...\nBilingham is having a great time at madrid\nDoku the new Kid of Man City is proving to be special too... Lets wait and find out,2023-11-23,Thursday,19:00:00
Ronaldo is ahead of Messi 🖤,2023-11-23,Thursday,19:00:00
Boni Amin yeah on World Cup trophy,2023-11-23,Thursday,21:00:00
Boni Amin Please please let me touch it😭...Please😭 Even one more Ballon D or will be nice😭😭😭,2023-11-23,Thursday,22:00:00
No one can replace these 2 greats,2023-11-23,Thursday,19:00:00
None can be the equal of Messi and Ronaldo,2023-11-23,Thursday,19:00:00
There's no player who will come close to be like Messi 👐,2023-11-23,Thursday,20:00:00
No one else can be like Messi😊,2023-11-23,Thursday,21:00:00
Messi vs mappe Holland and continue the others youngsters 😎,2023-11-23,Thursday,19:00:00
Futboll is played 11v11 not one on one. Great job GOAL.,2023-11-23,Thursday,22:00:00
No one ever can be Messi and Ronaldo,2023-11-23,Thursday,20:00:00
"This is the greatest rivalry we'll never see again after these two, the living legends 🔥",2023-11-23,Thursday,20:00:00
"None , there will be some players who are rivals and good but not legends like this",2023-11-23,Thursday,20:00:00
haaland vs mbappe,2023-11-23,Thursday,22:00:00
الكثير من لا شيء,2023-11-23,Thursday,20:00:00
There will be no next Messi or ronaldo..they already made their name in football history and those who'll come will have to build their own names,2023-11-23,Thursday,19:00:00
Jim KE \U000f188f? Halland and Mbappe has already taken Ronaldo's place. No one can do what Messi does😎🍿,2023-11-23,Thursday,22:00:00
Emi Lio talent wise I'd agree..Mbappe is even above ronaldo..ronald\no is more of a haaland to me but achievements ronaldo and Messi are aliens..I'm a messi fan,2023-11-23,Thursday,23:00:00
Jim KE \U000f188f?,2023-11-23,Thursday,23:00:00
Lamine Yamal and Fermin Lopez,2023-11-23,Thursday,19:00:00
Without Messi football will be so boring 😂,2023-11-23,Thursday,21:00:00
و هذا لا ينسينا أن ميسي أفضل من كريستيانو رونالدو 🇦🇷💪🏻🐐,2023-11-23,Thursday,19:00:00
No one currently.\n\nMessi and Ronaldo are two of the GOATs and we were blessed to witness greatness.,2023-11-23,Thursday,20:00:00
"Messi ' s replacement is nothing\n\nPendu -\\-\\ haland, Mbappe",2023-11-23,Thursday,19:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,19:00:00
Veron Dice 😃,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
Veron Dice brainless pendu fan..\n\nTicktock d or,2023-11-23,Thursday,20:00:00
Veron Dice,2023-11-23,Thursday,20:00:00
Veron Dice,2023-11-23,Thursday,20:00:00
Veron Dice,2023-11-23,Thursday,20:00:00
Veron Dice,2023-11-23,Thursday,20:00:00
Veron Dice,2023-11-23,Thursday,20:00:00
Veron Dice,2023-11-23,Thursday,20:00:00
Veron Dice,2023-11-23,Thursday,20:00:00
Veron Dice,2023-11-23,Thursday,20:00:00
The script is so interesting..,2023-11-23,Thursday,20:00:00
Veron Dice,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
Veron Dice brainless pendu fan..\n\nPendu fans r jokers.. So its normal.,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
Veron Dice abal er jonma..\n\nDure gia mor,2023-11-23,Thursday,20:00:00
কৃষ্ণ গহ্বর,2023-11-23,Thursday,20:00:00
None. There will be great goal scorers. But which of them will also be able to assist at Messi’s rate?,2023-11-23,Thursday,20:00:00
Never ever we can enjoy it again,2023-11-23,Thursday,21:00:00
No one😒,2023-11-23,Thursday,19:00:00
No one messi distroyed many records,2023-11-23,Thursday,20:00:00
"Vinicius jnr,\nmbappe,\nhaaland,\ndoku,\njoao Felix,\nSalah,\nOsimhen,\nAllison Becker,\nSaka,\nKvaratshelia and so many",2023-11-23,Thursday,23:12:00
"Not any time sooner, it will take decades for such a rival to repeat",2023-11-23,Thursday,19:00:00
"The next generation it's going to be boring, no one will reach their level",2023-11-23,Thursday,21:00:00
"I don't know, what I know is that Lamine Yamal and Vitor Roque will be the best attacking duo in the future",2023-11-23,Thursday,19:00:00
Never they never be any other messi and ronaldo,2023-11-23,Thursday,23:00:00
Ronaldo is not on Messi's level please. Messi is the best by far,2023-11-23,Thursday,23:18:00
No footballers will compete like them .. first of all no footballer will ever be like Messi .. but i think Halland or Mbappe might get close to Ronaldo ..,2023-11-23,Thursday,22:00:00
"** ARE YOU READY !? **\n\nMost importantly we should Recognise that we did not just exist we are here for a purpose and we have were we come from and were we are going. We were all created by God for His Glory that is to bear his image and we should remember that it is appointed for a man once to die and then Judgement. We should be ready because anytime your life can be demanded from you. Make sure you are ready to meet your maker by accepting Jesus Christ as your Lord and Saviour. He is the way the truth and the Life. He doesn't deny anyone whoever you are, whatever you have done, wherever you u have been or whatever you have or don't have. Come the way you are come to Him. Today is the best day to come to Him and now is the best time.\n\n(Matthew 11:28\n[28]Come to Me, all you who labor and are heavy laden, and I will give you rest.)\n\n(John 3:16-18\n[16]For God so loved the world that He gave His only begotten Son, that whoever believes in Him should not perish but have everlasting life.\n[17]For God did not send His Son into the world to condemn the world, but that the world through Him might be saved.\n[18]“He who believes in Him is not condemned; but he who does not believe is condemned already, because he has not believed in the name of the only begotten Son of God.)",2023-11-23,Thursday,23:00:00
If Mbappe move from PSG it will be him and Bellingham,2023-11-23,Thursday,20:00:00
Tat'ze Alu Kolose don't compare mbappe with bellingham plss,2023-11-23,Thursday,22:00:00
Messi the most humble player ever walked on the earth\nI'm CR7 fan 🇵🇹🇵🇹🇵🇹🇵🇹❤❤,2023-11-23,Thursday,23:12:00
No one can take their place..🐐🐐❣️,2023-11-23,Thursday,19:00:00
